Second City,Iconic,Comedy,,,Afternoon,Night,"An improvisational comedy theatre troupe, Second City's talented cast creates original sketches for adult audiences.'"
Up Comedy Club,,Comedy,,,Afternoon,Night,
Laugh Factory,,Comedy,,,Afternoon,Night,
Zanies,,Comedy,,,Afternoon,Night,
IO Chicago,,Comedy,,,Afternoon,Night,
Jokes N Notes,,Comedy,,,Afternoon,Night,
Comedy Sports,,Comedy,,,Afternoon,Night,
The Comedy Bar,,Comedy,,,Afternoon,Night,
Riddles Comedy Club,,Comedy,,,Afternoon,Night,
The Annoyance Theater and Bar,,Comedy,,,Afternoon,Night,
Lincoln Hall,,Music,Food,Bar,Night,,
Kingston Mines,,Music,Bar,,Night,,Kingston Mines is one of Chicago's oldest and largest blues joints where concerts and dancing don't stop until the early morning.'
The Riviera,,Music,,,Night,,The Riviera Theatre is a concert venue popular for both local and national acts'
Andy's Jazz Club,,Music,Bar,,Night,,
Green Mill,Iconic,Music,Bar,,Night,,
Aragon Ballroom,,Music,,,Night,,The Aragon Ballroom is a concert venue & event paced designed to replicate an ornate Spanish palace courtyard'
The Underground Wonderbar,,Music,Bar,,Night,,
M Lounge,,Music,Bar,,Night,,
The Backroom,,Music,Bar,,Night,,
Old Town Ale House,,Bar,,,Night,,
The Aviary,,Bar,,,Night,,
The Map Room,Iconic,Bar,,,Night,,
Hopleaf ,Iconic,Bar,,,Night,,
Violet Hour,Iconic,Bar,,,Night,,
Lost Lake,,Bar,,,Night,,
Headquarters Beercade,,Bar,,,Night,,
Delilah's,,Bar,Music,,Night,,
Wildberry Pancakes & Cafe,,Food,Lunch,,,,
Birchwood Kitchen,,Food,Lunch,,,,
Over Easy Cafe,,Food,Lunch,,,,
Yolk River North,,Food,Lunch,,,,
Bite Cafe,,Food,Lunch,,,,
Bridge House Tavern,,Food,Lunch,,,,
Glazed & Infused,,Food,Lunch,,,,
Metropolis Coffee Company,,Food,Lunch,,,,
Bakin & Eggs,,Food,Lunch,,,,
Ellys Pancake House,,Food,Lunch,,,,
Big Star,,Food,Lunch,,,,
Billy Goat Tavern,,Food,Lunch,,,,
Floriole Cafe and Bakery,,Food,Lunch,,,,"Deemed one of Chicago's best bakeries, this Lincoln Park shop offers a rotating menu of French pastries, bread, sandwiches and salads. A perfect spot to grab breakfast or lunch.'"
Emporium,,Food,Lunch,,,,"With two locations in Wicker Park and Logan Square, this bar has nearly 40 arcade games, two dozen rotating craft beers and over 50 whiskeys. The Logan Square spot also has pool tables.'"
Harolds Chicken Shack,,Food,Lunch,,,,
Udupi Palace,,Food,Lunch,,,,A trip to Chicago's 'Little India' will be well worth it. Udupi is one of the many gems on Devon Avenue that specializes in southern Indian dishes. Vegetarian dishes only.'
The Patio at Cafe Brauer,,Food,Lunch,,,,
Oak Street Beach Food & Drink,,Food,Lunch,,,,
Southport Grocery & Cafe,,Food,Lunch,,,,
Lula Cafe,,Food,Dinner,,,,
Blackbird,,Food,Dinner,,,,
Wasabi,,Food,Dinner,,,,
Anteprima,,Food,Dinner,,,,
Pequods,Iconic,Food,Dinner,,,,
North Pond,,Food,Dinner,,,,
Nightwood,,Food,Dinner,,,,
RPM Italian,,Food,Dinner,,,,"A trendy, upscale restaurant by reality TV stars Bill & Giuliana Rancic. The River North spot, which offers modern Italian fare, is a place to see and be seen.'"
Au Cheval,,Food,Dinner,,,,"An upscale diner in Chicago's West Loop offering dishes from omelettes to foie gras. Its cheeseburger, however, is known as one of the best in the city.'"
United Center,,Sports,,,Afternoon,,"If you want to see the Bulls or the Blackhawks, you‰Ûªll need to make a trip to this sprawling Near West Side sports arena. When it's not hosting hockey or basketball, it's the venue of choice for gigantic touring acts like BeyoncÌ© and Lady Gaga.'"
US Cellular Field,,Sports,,,Afternoon,,"Located on Chicago's south side, U.S. Cellular Field is home to the 2005 World Series Champions. More modern and spacious than Wrigley, it also offers creative stadium fare like bacon on a stick and chicken and waffle sandwiches.'"
Soldier Field,,Sports,,,Afternoon,,"During football season, Soldier Field is the perfect place to tailgate and catch a game. Opened in 1924, it is the oldest NFL stadium. During the offseason, it serves as one of Chicago‰Ûªs largest concert venues.'"
Wrigley Field,Iconic,Sports,,,Afternoon,,"Located on Chicago's northside, Wrigley Field is the second-oldest major league ballpark and has been the home to the Cub's for 99 seasons. The surrounding neighborhood known as ‰ÛÏWrigleyville‰Ûù offers sports fans a variety of restaurants and bars.'"
Diversey Driving Range,,Sports,,,Morning,,
Toyota Park,,Sports,,,Afternoon,,
Allstate Arena,,Sports,,,Afternoon,,
Ryan Field,,Sports,,,Afternoon,,
BASH Sports Academy,,Sports,,,Afternoon,,
The Strike Zone,,Sports,,,Afternoon,,
Chicago Theater,Iconic,Theater,,,Night,Afternoon,"Chicago Theatre is a landmark performing arts venue for stage plays, magic shows, comedy, speeches, and popular music concerts. '"
Harris Theater,,Theater,,,Night,Afternoon,
Cadillac Palace Theater,,Theater,,,Night,Afternoon,
Bank of America Theater,,Theater,,,Night,Afternoon,
Mecury Theater,,Theater,,,Night,Afternoon,
Music Box Theatre,Iconic,Theater,,,Night,Afternoon,
Arie Crown Theater,,Theater,,,Night,Afternoon,
Merle Reskin Theatre,,Theater,,,Night,Afternoon,
Theatre Wit,,Theater,,,Night,Afternoon,
Broadway Playhouse at Water Tower Place,,Theater,,,Night,Afternoon,
The Art Institute of Chicago,Iconic,Museum,,,Morning,Afternoon,"This art museum is the second-largest art museum in the United States most famous for its collections of Impressionist, Post-Impressionist, and American paintings.'"
Garfield Park Conservatory,,Museum,,,Morning,Afternoon,"Described as 'landscape art under glass' when it opened in 1908, the Garfield Park Conservatory is one of the largest of its kind in the nation. Inside, visitors will find 120,000 plants spread across 1.6 acres. A popular rain-or-shine destination for nature lovers, the conservatory hosts seasonal flower shows as well as occasional concerts and events.'"
Peggy Notebaert Nature Museum,,Museum,,,Morning,Afternoon,"Take a trip to Lincoln Park, where visitors can learn about the natural world at the Peggy Notebaert Nature Museum. Outside, a series of nature trails take explorers past a lagoon and a prairie garden, while indoor attractions include interactive ecosystems and the 2,700-square-foot Judy Istock Butterfly Haven.'"
The Field Museum,Iconic,Museum,,,Morning,Afternoon,The Field Museum is a premier natural history museum'
Museum of Science and Industry,Iconic,Museum,,,Morning,Afternoon,This museum is the largest science museum in the Western Hemisphere. It is a Chicago landmark.'
Shedd Aquarium,Iconic,Museum,,,Morning,Afternoon,
Adler Planetarium,,Museum,,,Morning,Afternoon,
National Museum of Mexican Art,,Museum,,,Morning,Afternoon,"This first Mexican cultural center in the Midwest and the largest in the nation featuring Mexican, Latino, and Chicano art and culture. '"
Chicago History Museum,,Museum,,,Morning,Afternoon,"This museum explores both Chicago and American history houses Chicago's most important collection of programs, publications, and online resources.'"
Richard H. Driehaus Museum,,Museum,,,Morning,Afternoon,"Steps away from the Mag Mile, the museum is one of Chicago‰Ûªs historic treasures. Once the home of 19th-century banker, Samuel Mayo Nickerson, the galleries transports visitors back to Chicago's Gilded Age.'"
Dusable Museum of African American History,,Museum,,,Morning,Afternoon,"The first and oldest museum dedicated to the study and conservation of African American history, culture, and art.'"
Gather Home & Lifestyle,,Shopping,,,Afternoon,Morning,
Brimfield,,Shopping,,,Afternoon,Morning,
Water Tower Plaza,Iconic,Shopping,,,Afternoon,Morning,
The Mag Mile,Iconic,Shopping,,,Afternoon,Morning,"Chicago's Magnificent Mile is the perfect place for a shopping experience. It boosts a variety of retail shops, designer boutiques, department stores and dining options.'"
Fashion Outlets of Chicago,,Shopping,,,Afternoon,Morning,
Unabridged Bookstore,,Shopping,,,Afternoon,Morning,
Rent the Runway,,Shopping,,,Afternoon,Morning,
New Elephant Resale,,Shopping,,,Afternoon,Morning,
The Shops at Roosevelt Collection,,Shopping,,,Afternoon,Morning,The Shops at Roosevelt Collection delivers upscale retail and sophisticated urban living in the heart of Chicago's South Loop.'
Cloudgate,Iconic,Outdoors,,,Morning,Afternoon,"Better known as 'The Bean' because of its shape, Cloud Gate is one of Chicago‰Ûªs most'"
Grant Park,,Outdoors,,,Morning,Afternoon,
Navy Pier,Iconic,Outdoors,,,Morning,Afternoon,"This tourist hot spot features shops, eateries, an IMAX cinema and sightseeing boat tours. The 150-foot-high Ferris wheel is one its most popular attractions, but you can also find the Chicago Children's Museum and a rotating roster of live entertainment on the Family Pavilion Stage.'"
Lincon Park Zoo,,Outdoors,,,Morning,Afternoon,"See some 1,200 animals, from apes to zebras, at the oldest and one of only a few free zoos left in the country. It is small, only 35 acres, but is one of Chicago‰Ûªs most iconic sites.'"
Alfred Caldwell Lily Pool,,Outdoors,,,Morning,Afternoon,
Millenium Park,Iconic,Outdoors,,,Morning,Afternoon,"Millennium Park contains a selection of Chicago's most iconic sights, ranging from the popular Cloud Gate to the towering Crown Fountain. When the weather is warm, you can see a free concert at the Frank Gehry designed Pritzker Pavilion or have a picnic in the heart of the city.'"
Lakefront Trail,,Outdoors,,,Morning,Afternoon,"Take in some amazing views of Lake Michigan along the 18-mile Lakefront Trail. Run, bike or walk along the path, which connects attractions like the Museum Campus, Belmont Harbor, McCormick Place and most of the city‰Ûªs beaches.'"
Crown Fountain,,Outdoors,,,Morning,Afternoon,"This video sculpture, which features a rotating display of local faces, is located next to many of Chicago‰Ûªs top attractions in Millennium Park. In the warmer months, the fountain allows visitors a chance to cool off.'"
Kayak the River,,Outdoors,,,Morning,Afternoon,
Oak Street Beach,,Outdoors,,,Morning,Afternoon,
Studio Paris Nightclub,,Nightlife,,,Night,,
Howl at the Moon Piano Bar,,Nightlife,,,Night,,
The Apartment Nightclub,,Nightlife,,,Night,,
Underground Bar,,Nightlife,,,Night,,
Signature Lounge,,Nightlife,,,Night,,
Spy Bar,,Nightlife,,,Night,,
Sound bar,,Nightlife,,,Night,,
The Mid,,Nightlife,,,Night,,
Untitled,,Nightlife,,,Night,,
The Aviary,,Nightlife,,,Night,,
3 Dots and a Dash,,Nightlife,,,Night,,
Cuvee,,Nightlife,,,Night,,
Willis Tower,Iconic,,,,Morning,Afternoon,"One hundred and three floors above the streets, visitors can see as far as 50 miles in all directions from the top of the iconic skyscraper. If you‰Ûªre feeling brave, step out onto the Ledge‰ÛÓa glass cube suspended from the side of the building that will make you feel like you‰Ûªre walking on air.'"
360 Chicago,Iconic,,,,Morning,Afternoon,"Formerly known as the John Hancock Observatory, 360 Chicago offers visitors with a view of up to 55 miles out and four states from 1,000 feet up on the 94th floor. The Tilt attraction, which allows visitors to step onto an enclosed platform that extends from the building at a 30 degree angle offers a stomach-dropping view of the street below.'"
Chinatown,,,,,Afternoon,Night,"With breathtaking architecture and an abundance of cultural attractions, Chinatown is one of Chicago's most exciting neighborhoods to explore. '"
